,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
HDAC1,-0.006758616239605725,0.001485073172920289,-0.0022950622095291736,-0.0009746595365958126,-0.00047047606398361056,0.0030501819371254973,-0.004857535732673684,-0.009086535988308529,-0.012988955419540291,-0.003780667307098734
HDAC2,-0.00022124280309607683,-0.0015435912080141326,-0.0006876248241993679,-0.008324709379957218,-0.0018149242416354132,0.01566790968994462,0.0007965939830380959,-0.00381623449071527,-0.006535711131415019,0.007081110385712755
HDAC3,-0.002213145482814063,-3.5926554391411516e-05,-0.002999159372028899,-0.0011469040853887783,0.0060232454387268075,-0.0012093352675915843,0.0025318536446974804,-0.0027932985325440107,-0.0009181529933614487,0.004716711517810435
HDAC4,0.011956274089731711,0.012954094059761298,0.016770926828398713,0.015357382065327952,-0.0005944399876276487,0.00868067344512013,0.008864702267897808,0.015624483288887615,0.008242842598915,-0.004341354177803309
HDAC5,0.005627238387760541,0.010864470822492102,0.011771527573336939,0.013696084737089952,-0.0007981158884991339,0.003042135565431497,0.0034508005958158354,0.008360593538689742,0.001525619346366996,-0.008056291487734265
HDAC6,0.0003045277638976695,0.008958397716515307,0.007365440340957665,0.011712420591943015,-0.0006628496308686865,-0.0008884989421603263,-0.0007639739495318283,0.0020444169528072457,-0.004266888739659545,-0.010317610915762445
HDAC7,-0.01660850922082884,-0.0005981119526885976,-0.005962068945319327,-0.004154134082069377,-0.01141054013288998,0.0035929536646770403,-0.01961449189385573,-0.02183916753465799,-0.03157878035472436,-0.01745127556300311
HDAC8,0.014554373935442419,0.012384785826907309,0.02115587713179624,0.008877713626705972,-0.011803853575205678,0.028428382685553266,0.005521571407300329,0.015031290846911682,0.0007354576806433015,-0.004827186195752754
HDAC9,-0.00028115216536946845,-0.006662140019943146,-0.012590849730045593,-0.006307651052363795,0.02413036284175667,-0.015052930249827932,0.015203982415056789,0.0009780053339687683,0.017722642559666928,0.024882917771760167
HDAC10,-0.011531693519335978,0.0028244069328428206,-0.0013844565777932547,0.002575367385589746,-0.008731742868786793,-0.0005162477679312126,-0.014756021016948248,-0.013972838840312007,-0.02274514818152757,-0.0177790415192157
HDAC11,0.008455494218062968,0.00795087036241681,0.005934787310300669,0.01727522796607651,0.01586842631965221,-0.019357273123632366,0.014389060775931285,0.015755309653719695,0.022560529058838444,0.003072089273143189
SIRT1,-0.01069888723736137,-0.011584300902687103,-0.021488197600937637,-0.014641866195325266,0.022338006213044086,-0.01490722308983182,0.00663143749915394,-0.013180451498213506,0.0031206807509131717,0.023287118033436298
SIRT2,0.008475750221030857,0.006599103114899288,0.006047536438852587,0.012700976911169212,0.012127154819838818,-0.010971096351193952,0.012961912822782386,0.013898398273558083,0.018606080704735364,0.004577827713095673
SIRT3,0.018430918627356806,0.007971890153874391,0.009797246599011262,0.017326958750963878,0.020994148358288917,-0.016037584272207316,0.025715586505502666,0.027706331821369452,0.03887552243852993,0.014711981368922598
SIRT4,0.010764316424892114,0.004673776489801755,0.0026418244018137863,0.012666748309807433,0.022509438399171286,-0.019644243190806217,0.020897439774700027,0.01803750183953927,0.030454559796515516,0.014393281454553895
SIRT5,0.013597776983676363,0.00436468431869875,0.002445017526175382,0.014028989073115027,0.027388305189162427,-0.02423529535016209,0.025799051543893666,0.02244879828698908,0.038709640706472585,0.018969558346780324
SIRT6,-0.004151720627268723,0.009656956491808748,0.012546435714603208,0.0054129933899668,-0.02388988629977428,0.02331212212668307,-0.01721279152987185,-0.007966498722190048,-0.029706366012796585,-0.025910130478712403
SIRT7,-0.009066455488443396,0.0052501680909193705,0.004881938616946757,0.0016738752213402727,-0.01872387253651361,0.014293746609388187,-0.018144502041991892,-0.013241669919010001,-0.029658820815342248,-0.0225336478223454
KAT2A,-0.02371353699180778,-0.01002805381712476,-0.023629322542598287,-0.00920629977446796,0.009904831008041117,-0.02508159969158241,-0.01312910756061812,-0.027080054285861396,-0.018643409225338983,-0.0023505272276558528
KAT2B,0.018176710521407145,0.003602979803223118,0.007765736731900857,0.00613342730268108,0.016175528778051534,-0.0006231905007947427,0.024431813542375665,0.02354699444668798,0.032885931521339326,0.021460715676453586
HAT1,0.023800325260788197,0.015584273356484081,0.02995341136382466,0.011901994003221523,-0.016153752523342037,0.03766882466181319,0.010247983683015813,0.02560676389210332,0.008442008471931018,-0.003937341185401261
ATF2,-0.035723454969940956,-0.02310739442908942,-0.04386810403342554,-0.029001405179564104,0.021927411179195933,-0.02860968655015085,-0.013154104656069768,-0.04427268430761466,-0.02502945708388546,0.016511704844966637
KAT5,0.02932416399880905,0.02291541755403386,0.03751516046056162,0.02362098555208545,-0.012420452865869853,0.033058890576705566,0.0159431352512039,0.03474854553487279,0.016428307980838927,-0.007266276086935101
