,Channels,Values,Grouping
0,FOXO1,-0.025084742712535205,Depolarization
1,FOXO3,0.050107946251909896,Depolarization
2,GATA4,0.16631157919595316,Depolarization
3,GATA6,0.15034583697349754,Depolarization
4,HIF1A,0.07827127812923111,Depolarization
5,KLF4,-0.03410778313603415,Depolarization
6,KLF5,-0.04577477874485721,Depolarization
7,MEF2A,0.2933426341382122,Depolarization
8,NFAT5,0.12316371332001952,Depolarization
9,NFKB1,0.03425097730840692,Depolarization
10,NKX25,0.17080451509858288,Depolarization
11,NOTCH1,-0.025232424240778987,Depolarization
12,RUNX1,-0.03068630443368534,Depolarization
13,SHMT2,0.04065282139511788,Depolarization
14,SOD1,0.13165699447568233,Depolarization
15,TBX5,0.15903939382984975,Depolarization
16,TGFB1,0.014059839150405479,Depolarization
17,TRIM28,0.036993246622057115,Depolarization
18,YY1,0.08392633959634616,Depolarization
0,FOXO1,0.003354289820771378,Repolarization
1,FOXO3,0.05519344322004226,Repolarization
2,GATA4,0.11184858166708234,Repolarization
3,GATA6,0.09121433115562996,Repolarization
4,HIF1A,0.09977495207698393,Repolarization
5,KLF4,-0.054580137389693646,Repolarization
6,KLF5,-0.04041837480234471,Repolarization
7,MEF2A,0.20854713875683906,Repolarization
8,NFAT5,0.095352551809168,Repolarization
9,NFKB1,0.039221936555798476,Repolarization
10,NKX25,0.10548002515439245,Repolarization
11,NOTCH1,-0.021271071146076667,Repolarization
12,RUNX1,-0.007657166337701703,Repolarization
13,SHMT2,0.04570338837491894,Repolarization
14,SOD1,0.0963786248645968,Repolarization
15,TBX5,0.09504580816414934,Repolarization
16,TGFB1,0.005836135211427089,Repolarization
17,TRIM28,0.026068051910067933,Repolarization
18,YY1,0.06578555290084924,Repolarization
0,FOXO1,-0.028439032533306582,Net
1,FOXO3,-0.005085496968132361,Net
2,GATA4,0.05446299752887082,Net
3,GATA6,0.05913150581786758,Net
4,HIF1A,-0.02150367394775282,Net
5,KLF4,0.020472354253659494,Net
6,KLF5,-0.005356403942512501,Net
7,MEF2A,0.08479549538137315,Net
8,NFAT5,0.027811161510851515,Net
9,NFKB1,-0.004970959247391556,Net
10,NKX25,0.06532448994419043,Net
11,NOTCH1,-0.00396135309470232,Net
12,RUNX1,-0.023029138095983635,Net
13,SHMT2,-0.005050566979801059,Net
14,SOD1,0.03527836961108552,Net
15,TBX5,0.0639935856657004,Net
16,TGFB1,0.00822370393897839,Net
17,TRIM28,0.010925194711989182,Net
18,YY1,0.018140786695496916,Net
0,FOXO1,0.03395388390266446,Rest
1,FOXO3,0.06854086877422325,Rest
2,GATA4,0.09452683408951973,Rest
3,GATA6,0.038850581635396286,Rest
4,HIF1A,0.14191564279858312,Rest
5,KLF4,-0.08171144279508016,Rest
6,KLF5,0.05415553078940285,Rest
7,MEF2A,0.16556626990099016,Rest
8,NFAT5,0.105221125038195,Rest
9,NFKB1,0.06634476661229005,Rest
10,NKX25,0.060788805996381846,Rest
11,NOTCH1,-0.020264350825631765,Rest
12,RUNX1,0.008166579517132018,Rest
13,SHMT2,0.043636521802083515,Rest
14,SOD1,0.09318980706120976,Rest
15,TBX5,0.07124047292693636,Rest
16,TGFB1,-0.03439677250554249,Rest
17,TRIM28,0.02273554270475052,Rest
18,YY1,0.07185699612719923,Rest
0,FOXO1,0.004063172090636303,Calcium
1,FOXO3,0.07619885552122846,Calcium
2,GATA4,0.16872488837792152,Calcium
3,GATA6,0.10618896841841477,Calcium
4,HIF1A,0.12765255295587072,Calcium
5,KLF4,-0.08495635999367025,Calcium
6,KLF5,0.02414884779846457,Calcium
7,MEF2A,0.28287910234358526,Calcium
8,NFAT5,0.14717439861046497,Calcium
9,NFKB1,0.05741914287380128,Calcium
10,NKX25,0.14735307447642995,Calcium
11,NOTCH1,-0.051214668684159796,Calcium
12,RUNX1,-0.10986221995239943,Calcium
13,SHMT2,0.022856528667020943,Calcium
14,SOD1,0.15484949545865606,Calcium
15,TBX5,0.18989303416080994,Calcium
16,TGFB1,-0.07175844055768951,Calcium
17,TRIM28,0.026862780959678208,Calcium
18,YY1,0.09877793188191626,Calcium
0,FOXO1,-0.020186011271209958,Coupling
1,FOXO3,0.039826218058183316,Coupling
2,GATA4,0.14083451519235377,Coupling
3,GATA6,0.11803807768307642,Coupling
4,HIF1A,0.06306591395919446,Coupling
5,KLF4,-0.026788317743851906,Coupling
6,KLF5,-0.003241892790996548,Coupling
7,MEF2A,0.23875364651855194,Coupling
8,NFAT5,0.10679999799910866,Coupling
9,NFKB1,0.032313983119142145,Coupling
10,NKX25,0.1392461668685279,Coupling
11,NOTCH1,-0.021350912411590355,Coupling
12,RUNX1,-0.03235470154867404,Coupling
13,SHMT2,0.025814825402488653,Coupling
14,SOD1,0.11234771793857472,Coupling
15,TBX5,0.139413227203191,Coupling
16,TGFB1,-0.003021303955331454,Coupling
17,TRIM28,0.03035755889456386,Coupling
18,YY1,0.07212959141660356,Coupling
