,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,KAT2A,KAT2B,HAT1,ATF2,KAT5,KAT6A,KAT6B,KAT7,EP300,CREBBP,NCOA1,NCOA3,TAF1,GTF3C1,CLOCK
SCN5A,-0.11534674542797024,0.3224769169329085,0.2623880347518686,0.30162209218084135,-0.09114511942667601,-0.10128568879035896,-0.49470004169713416,0.4553386921291023,0.5352706998638009,-0.5183528371202816,-0.008016133936301496,0.28811747250111686,0.1276410218865924,0.4095828575588391,0.358594592874642,0.40300700367770204,-0.39799471117049195,-0.5041170187967047,-0.5302974254858167,0.7603553003913236,0.49304972100814953,-0.22797963470291194,0.5033613367246413,0.1467063225630538,0.4646338191538724,0.729869708684996,0.6508778519534567,0.28347329837956636,0.3791347524411481,0.4482866741151987,0.1699796267087131,0.5403829409774691,0.6176814779683324
CACNA1C,0.2028907764690747,0.35361644733430736,0.20616445670406175,0.4001549851935549,0.19150912190674876,0.20836919104501433,-0.1750861434866482,0.31537552620557474,0.3052206406196676,-0.11129963772200911,0.05422235617176981,0.36888561523759356,0.0403585332939622,0.2826647732514468,0.204246775216664,0.22222052763468694,-0.032283654359845156,-0.131580044224702,-0.2976073750244007,0.4134724341643313,0.5413495184618246,0.03046441847778363,0.6588077429184613,0.25426511281159137,0.5430252432499305,0.600199469553792,0.5889027201362341,0.3365030488907261,0.6491285298910503,0.253536501508259,0.36661681739873286,0.5138286801160584,0.4729965749631274
KCNH2,0.04533914263816826,0.44334102684694726,0.28225124313009264,0.31426169043732477,-0.02315558013236046,-0.05760719359309304,-0.3187306551619009,0.5322524857476335,0.4008826941198416,-0.4026844653187414,-0.13804889243487306,0.22814116916456625,-0.024755453236909614,0.27143356694418436,0.24473341930717799,0.1931794002264756,-0.07487494226866709,-0.20416417843320248,-0.44951736175151297,0.6112216942460079,0.6282167634172814,-0.19865757129111042,0.5727549028521273,0.16144032538793965,0.420823409754497,0.6799357323173488,0.6274263169202109,0.25909592549988536,0.3830112522285124,0.4667951819035727,0.184124604944011,0.6267353958057967,0.6866024241746236
KCNQ1,0.00736757091686283,0.12744123966290813,0.13276096691145362,0.2745470708207252,0.24622307997899276,0.10968286099762722,-0.286951874016419,0.3439050117034641,0.4601145527744738,-0.19532457164113318,0.4137351401282846,0.23161251040806413,0.4123652020574543,0.5558970506089648,0.4246481464939432,0.5556039969806423,-0.18533961230418913,-0.2538519013245317,-0.25409018007731937,0.5418613819996707,0.2931891222909161,-0.16983352742592933,0.4987002534293308,0.134616433240256,0.4581422535560993,0.4955180221633123,0.43001897499325414,0.22282666441758853,0.4205262190866801,0.2519266496571479,0.11759487351840589,0.3347222916684739,0.3492621769062612
KCNJ2,0.11685393203813638,0.02770310204756195,0.1730295167765762,0.24062176994974624,0.204737517690921,0.09156492356859898,-0.2903863108572428,0.027042737748971903,0.4600454691921682,-0.23397684721254874,0.4789142218092892,0.3907434482053022,0.4142993607928601,0.5525637597018439,0.6121876875638418,0.7269051518300003,-0.34287563304862445,-0.34744839409233724,0.02899896106693061,0.4956646041737539,-0.017465496332872622,0.16029572443335588,0.17463893433704808,0.20708524644822346,0.46827810972929745,0.3426858049878255,0.27945807334886746,0.289574624984301,0.3208201703878938,0.2665249338593302,0.2752473728056304,0.011178926016944759,0.2171967840137368
ATP1A1,0.21657500418711512,0.6432283288860464,0.03581558846148242,0.05701104720036376,0.023324775449774893,-0.20561913161791898,-0.017116445200107695,0.5795515740157617,0.1361031709983687,-0.1972197359095161,-0.386474770327991,0.31709370273717985,-0.15397233359247978,-0.3220998820161598,-0.3107650691463263,-0.3108426236742267,0.2532873586223126,0.12642352004835297,-0.42828959048086196,0.22883987127850974,0.7518626966344262,0.02801955727412245,0.5580631523640779,0.45283940921415056,0.18078408769289445,0.4256197015904127,0.5311288269095386,0.27329791447524854,0.47938797847673437,0.47101275841584206,0.28285481131636747,0.5672148455679562,0.6542982894962142
SLC8A1,-0.006275804426758708,0.3466860621008617,0.12003265492404647,0.2417148223422289,0.16838947154568298,-0.05931863530463674,-0.5330576410416261,0.344156379969641,0.6286579736912562,-0.4418937422655581,0.22776585352253173,0.5515458354829609,0.34216547248332535,0.6138592806394837,0.5120976260951382,0.6383973660528035,-0.4534853804861856,-0.5050946075447231,-0.44135823775945515,0.7865440355423502,0.4984056518896368,-0.05734171687276725,0.588764916734946,0.33795966517865406,0.6079774420868315,0.734187795636881,0.6612942995925493,0.3726128994680687,0.652354169390752,0.3341427359231865,0.32839590303260835,0.3446041012553905,0.618143393660599
ATP2A2,-0.02610777867670865,0.2932983523999367,0.04184948721420909,0.1510128458549508,0.018980215880188927,-0.16774941560738518,-0.5758886072944298,0.32052013072461794,0.4665125730259882,-0.5165820253005396,0.12054998916697617,0.34626086100792647,0.27940075009413434,0.5101406179712868,0.4073811533826847,0.5227345041413985,-0.4902053927857513,-0.4891090844805725,-0.5188299622431989,0.7646711459222978,0.5665922923574092,-0.29392436173474334,0.5795756671902312,0.22553321217632885,0.5253944597509044,0.6958253681927342,0.5910962313359968,0.24588304274494674,0.5249608172753825,0.3080076326053809,0.1605443414479644,0.3792222854963725,0.6124115038603757
RYR2,-0.20511048071244622,0.14091583338847077,0.08609894296075457,0.1847175125128767,0.04010366235415679,-0.20051979829917738,-0.6711906584734489,0.16562301201133567,0.5415159451250977,-0.5876228724744467,0.3174493459636611,0.3623036513115556,0.33881868911748747,0.7098435886860007,0.5148486703027192,0.7356776515034148,-0.6457645654059819,-0.6539345546149489,-0.462892609028844,0.7985478626809203,0.3681798093067029,-0.24358276812416704,0.43191759612531005,0.13241933688049373,0.5313044344325771,0.6485660864515341,0.4742582725292396,0.20385866558997143,0.4000999768540229,0.22383139117270115,0.1311887793464987,0.2659776734308622,0.46626938116822697
GJA1,0.04337384225628959,0.35317149092794015,0.2674477280893009,0.18771227135470853,-0.07210157473425498,-0.06975923822219188,-0.3966236081320949,0.2434681625908734,0.6404765920787859,-0.3978508863494012,0.16411658382888605,0.4671881815844513,0.13101613853238,0.5509682137333081,0.49283804351736843,0.5009574256447764,-0.3746770527044275,-0.39058093014874773,-0.2549757221042246,0.7187085693778106,0.33958707897621404,0.03547428810300265,0.3255484054973844,0.2220209897232132,0.41753161101862507,0.6316715545365178,0.47236260843528294,0.3336375802290525,0.38832126746981277,0.19898465128065215,0.3138440812262978,0.284647232274352,0.4875174817361458
