,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,KAT2A,KAT2B,HAT1,ATF2,KAT5,KAT6A,KAT6B,KAT7,EP300,CREBBP,NCOA1,NCOA3,TAF1,GTF3C1,CLOCK
SCN5A,0.10384402416262675,0.41187343347273336,0.4987988851458685,0.44162803849651616,0.12287996038421126,-0.08375700438804597,-0.44677909937881255,0.6419298222295378,0.629587065145377,-0.5416669146742897,0.3316684399107895,0.25997488874015073,0.527490643459941,0.5839870079440268,0.4784357870108329,0.6194335886679965,-0.30251089009644655,-0.32161627906875534,-0.4913843576994297,0.7738339333920375,0.5869032750556258,-0.057817802091109385,0.6554091490213068,0.11710408456687056,0.610455497113896,0.7662770025210995,0.6492196336694379,0.41713029620959174,0.3062953699323923,0.44451371022072883,0.2919942017156089,0.7396785461187014,0.671067284287555
CACNA1C,0.3679621250191901,0.3334396597535985,0.5178084138624727,0.5253011397817208,0.18597151666655928,0.1118263818154601,-0.15211664851927864,0.4748293511791291,0.42847255680376817,-0.30129591516776494,0.42928791496686175,0.2733503243012947,0.3730890163926905,0.5006611278928829,0.3391133411040221,0.48988431916344977,-0.048682768955126084,-0.010923832408681092,-0.2323022894918472,0.4824303913281586,0.5058570636981883,0.08524363130924219,0.6007480344532063,0.23843209882376284,0.5309738848154494,0.5970039228334549,0.6015901473935761,0.434867002836677,0.5093775183455714,0.40919588641184146,0.45073308314943455,0.6344980254903884,0.5504478458396143
KCNH2,0.096548915929926,0.3186216584629759,0.4992225392023171,0.4866893815396363,0.29913364610124477,-0.010905100243554336,-0.5581601831251929,0.6471335575025181,0.6502853605135348,-0.41766838575616844,0.4696054323242826,0.16488762474834764,0.6217391768584438,0.685024914346137,0.6364306376230546,0.7277917733780335,-0.34561248659676275,-0.32569374329936684,-0.3426769625399415,0.8341535416523652,0.5653614330833743,-0.15617636388769307,0.6030635513043807,-0.03701587073277896,0.6797228112157476,0.7651510975363948,0.6133317745852265,0.406626855278123,0.25716429810023844,0.34281722284901933,0.19961405520894893,0.608483242389809,0.64688501064326
KCNQ1,0.11763868788732926,0.3388695221717195,0.4283430369964876,0.2907374904629247,0.13701309508336468,-0.09995238812801872,-0.35679491586340106,0.5198828306565257,0.3896266690265042,-0.415553394462742,0.4910023829783562,0.12938073635500158,0.4569097279569338,0.54921111744264,0.42922326798001903,0.5100622598168741,-0.09642524988113255,-0.2237789323993636,-0.40474699213998355,0.5731553013802546,0.5302608399711812,-0.17474544977994488,0.5793620373717421,-0.04359070005124534,0.3875418222980673,0.6214575468336252,0.46502214401889486,0.22014228899432903,0.25228168716236754,0.21588712567992235,0.20523146643458062,0.6048759081407696,0.4702551134015823
KCNJ2,0.2755315905620611,0.2879195068126743,0.4227110889606299,0.5038475183352743,0.30385699950848055,0.07386373717600736,-0.4345379995439749,0.4656181090105202,0.61982177148481,-0.21258827724254348,0.47426046760065244,0.38245395902627655,0.6020943526744169,0.5830807246048653,0.638004780542688,0.6958587246784598,-0.32880905044293396,-0.27604698106149617,-0.1221154273952722,0.6303687245036536,0.31044490387890206,0.12172898696545091,0.4004077998792386,0.14546360498824887,0.6844900964921287,0.562738116664403,0.5710859802666214,0.536160859510216,0.38602626288957037,0.3121490538493143,0.20706261776361673,0.3930881511741599,0.5429062640916628
ATP1A1,0.2890890986811403,0.6842182671818046,0.18848828780805024,0.22630245540745622,0.1222509709915031,-0.25388572770445184,-0.02642422577185188,0.5531547691317583,0.25047363816520946,-0.37253118212140535,-0.037802628511450914,0.34415776086932687,0.12506630499688795,-0.07661785821670218,-0.0308765048536753,0.03457771120117615,0.1655697524329496,0.18122885205114378,-0.37010657972690086,0.280734515984898,0.7446631838686354,0.07713650826526318,0.5181662439780557,0.5584186243130218,0.2306915091084559,0.44784600718726925,0.5531095675057974,0.38408624071653247,0.49791729780926813,0.5493468250958977,0.49227956764329117,0.6365011988182151,0.6470324974217249
SLC8A1,0.09895483388897792,0.4543198998519463,0.4144921330672658,0.38691458257048833,0.2297392949803248,-0.13185047265277586,-0.6658163464090802,0.5745165344361365,0.6820685661996078,-0.5252061950824926,0.48925643603359753,0.40716407264897914,0.6234000984323467,0.6852336803025069,0.6131263252332129,0.7827960977042578,-0.5108441175931554,-0.4838789649157496,-0.4576437483588521,0.8527861015930286,0.6329532093936507,-0.04571664788557941,0.6571396773904046,0.08583452889369479,0.7028597882075186,0.7931706973355125,0.6873977218766576,0.46503661841487837,0.5267417799131291,0.2787325053360006,0.264492242716188,0.5526548534476474,0.7414673468074118
ATP2A2,0.10400438693813496,0.47285161470076725,0.3283885160717291,0.37539705673173296,0.1312911472411798,-0.24415155334444047,-0.6292562651320119,0.5503828336435916,0.5191068642636727,-0.6285768863661094,0.4206631066028829,0.3715298270506551,0.5799177675911479,0.6165894880746968,0.5704296337062844,0.6633629509086308,-0.44404142757067633,-0.38188016617341475,-0.5276138144698066,0.8197116872387884,0.6997620361220832,-0.1318648953432264,0.6887387487066842,0.08609278607640788,0.6434069996892704,0.7602716900202425,0.6835656478501616,0.4176883296054955,0.5132841980513538,0.31032733758039954,0.20874961083554855,0.5543592783658159,0.754859485275399
RYR2,0.0595235191057313,0.3743263776461125,0.45005803031909164,0.44549081024326764,0.23018924087566542,-0.15042425196286163,-0.6892213166698142,0.567565230308502,0.6449609805544102,-0.5587291029994019,0.5542786268492669,0.34837706297330867,0.6519380424225442,0.7445999678484627,0.6762847875514236,0.8189713885395895,-0.5673354276795856,-0.5064908550263062,-0.44978362552716744,0.8785321237200737,0.5676558320595649,-0.1087488174596023,0.6016868458663583,0.03666635429398518,0.7057985984626451,0.7782421582412962,0.6600050772897366,0.4378982395638411,0.4445424494769642,0.2826505964074118,0.20643773066528817,0.5627969580861515,0.7065820369343443
GJA1,0.17030193578300606,0.5001717311478013,0.43656602508021625,0.3761541844378517,-0.022355914704780763,-0.060082812944630096,-0.4425586533605083,0.5205949593717569,0.6558543460606696,-0.3639104692414946,0.35440167320663823,0.3934008986400927,0.5469835981070509,0.6459056994628103,0.4714339823149515,0.5981994234549863,-0.3702233658780226,-0.40768120550615783,-0.3673634045154366,0.7487241581547381,0.5159016739983797,0.14049850903059513,0.4978192635712265,0.1287760498160241,0.525301548290709,0.6895350697070687,0.5696379470044658,0.39965024773957913,0.4787399782521297,0.21081960033580902,0.277063377740387,0.4791306786905972,0.6522640494784422
