,FOXO1,FOXO3,GATA4,GATA6,HIF1A,KLF4,KLF5,MEF2A,NFAT5,NFKB1,NKX25,NOTCH1,RUNX1,SHMT2,SOD1,TBX5,TGFB1,TRIM28,YY1
HDAC1,0.19506073754075565,-0.01957711737950278,0.3454596239396537,0.1811409429285804,0.14184201407380886,-0.06665939146935969,0.13779544692563464,-0.33550313943299326,0.02537974287972819,0.4101326574278618,0.2995780333285537,0.6151232040104152,0.46843986529230525,0.5079721137586377,0.3426097570399634,-0.16973379787922885,0.5562149454522783,0.7619127929149042,0.368298602633656
HDAC2,0.06585390136086118,-0.2661899075603345,0.9897201163471557,0.2346638561933687,1.0,-1.0,0.4046864104885487,0.32653592332491493,-0.07430395214731209,1.0,0.31813850936222887,0.3505919787570845,0.9500934736508233,1.0,0.9143590990724093,-0.7479515437261347,0.7086342037619096,0.8115495965237125,1.0
HDAC3,0.019750968727195443,0.14918963951228686,0.4746155558922304,0.6501148037249609,-0.1366046994844436,0.07620511860283277,-0.31600402148934814,0.09469943142163273,0.13826235369932968,0.030835506668479517,0.4959716715093538,0.10447511653689326,-0.11219461938154286,0.12342117964212121,0.575156691556627,0.4041615803134719,0.012028381447385123,0.4160287929253189,0.2621114952825949
HDAC4,0.14099957842663235,0.2872554414577408,0.27289257462563643,0.5094727657954995,-0.10512368078824277,0.13173750374811452,-0.1622731618329967,0.2373421196724528,0.275235186181062,0.021051159404410557,0.2876606854782079,0.09058727132580124,-0.12297924722763674,0.030673781285620264,0.3887673256184245,0.3411173601689355,-0.017705936376201787,0.25671711587422985,0.2954471681066282
HDAC5,-0.07139656806890328,-0.0017407448484628475,0.2909454507084304,0.44940864154342086,-0.28781192640780245,0.1939263425920384,-0.3599898257884239,-0.24572488008904955,-0.038156465650477984,-0.09828050970150717,0.44772797582335966,0.1398419535718837,-0.1426897369134349,0.05100461835974174,0.34269171101091433,0.3871447349932185,0.013468848335803906,0.3657300198614101,-0.03458433614309659
HDAC6,0.22291409805629978,0.36762571524967486,-0.37433651448178135,0.22042766819334336,-0.7379265942214865,0.8364723865746653,-0.2619932645997101,-0.4502281860413204,0.24621964842683774,-0.42139699434074945,0.1423283469246219,0.34661852970663054,-0.39785027519066185,-0.3344160647893441,-0.2534671539992369,0.6190735208612408,-0.06313383275288399,0.17116996898410722,-0.3152020855431152
HDAC7,0.5619509238474985,0.15030068519853199,-0.5709313517998601,-0.6592978456078967,0.0420416443905717,0.3264989863245152,0.7020120293474593,-0.7191310824220652,0.16738250916311076,0.35813542317748776,-0.3952123708554503,1.0,0.6557871789058299,0.3261272678785569,-0.6250506215272558,-0.556079408612945,0.7855745463589884,0.5211473347264338,0.09338809540645616
HDAC8,0.15768922574047892,0.24217498740295693,0.5198477153080662,0.47578136021099926,0.37156048227180055,-0.3289092215650421,0.07295717762992736,0.6542396870405973,0.3093043025265212,0.35033813703330774,0.19878508627491917,-0.019337348849078173,0.14939757024339717,0.2659019976115301,0.6084926478240583,-0.0036878642395499228,0.07728515123028812,0.23912936362419218,0.6746691217193266
HDAC9,0.13211395985601188,0.4368954563660428,0.21359311411328685,0.5134105502965407,0.03483130865728583,-0.0006341485686501293,-0.11972076608736798,0.8068993774246361,0.43457869927632087,-0.049974024870049615,0.08126547050328585,-0.3134544626845991,-0.31319750121809475,-0.17934874607019727,0.36576979165449014,0.3624786540991788,-0.3238625294672343,-0.18461999946547003,0.395010131965648
HDAC10,0.015697275759614857,-0.22051782164678163,-0.20260275039016729,-0.24476475008511406,-0.30109944132331135,0.3187371235637993,-0.005275496219663947,-0.9270007657401078,-0.25731840960361807,-0.03082655994810482,0.1037653649206441,0.543807085461476,0.20054125291825922,0.1448853906290681,-0.275882647637426,-0.06195793277187562,0.3715258911754949,0.43104854156843647,-0.35481156093128763
